,REF_DATE,GEO,Sex,Age group,Income source,Statistics,SCALAR_FACTOR,VALUE
14929,1976,Prairie provinces,Males,25 to 54 years,Total income,Median income (excluding zeros),units,62900.0
15004,1976,Prairie provinces,Females,25 to 54 years,Total income,Median income (excluding zeros),units,24000.0
15079,1976,Prairie provinces,Both sexes,25 to 34 years,Total income,Median income (excluding zeros),units,46800.0
15154,1976,Prairie provinces,Males,25 to 34 years,Total income,Median income (excluding zeros),units,60100.0
15229,1976,Prairie provinces,Females,25 to 34 years,Total income,Median income (excluding zeros),units,24200.0
15304,1976,Prairie provinces,Both sexes,35 to 44 years,Total income,Median income (excluding zeros),units,52200.0
15379,1976,Prairie provinces,Males,35 to 44 years,Total income,Median income (excluding zeros),units,68100.0
15454,1976,Prairie provinces,Females,35 to 44 years,Total income,Median income (excluding zeros),units,24200.0
15529,1976,Prairie provinces,Both sexes,45 to 54 years,Total income,Median income (excluding zeros),units,40600.0
15604,1976,Prairie provinces,Males,45 to 54 years,Total income,Median income (excluding zeros),units,60100.0
15679,1976,Prairie provinces,Females,45 to 54 years,Total income,Median income (excluding zeros),units,23200.0
15754,1976,Prairie provinces,Both sexes,55 to 64 years,Total income,Median income (excluding zeros),units,32800.0
15829,1976,Prairie provinces,Males,55 to 64 years,Total income,Median income (excluding zeros),units,51100.0
15904,1976,Prairie provinces,Females,55 to 64 years,Total income,Median income (excluding zeros),units,14700.0
15979,1976,Prairie provinces,Both sexes,65 years and over,Total income,Median income (excluding zeros),units,14000.0
16054,1976,Prairie provinces,Males,65 years and over,Total income,Median income (excluding zeros),units,17700.0
16129,1976,Prairie provinces,Females,65 years and over,Total income,Median income (excluding zeros),units,12500.0
16204,1976,Manitoba,Both sexes,16 years and over,Total income,Median income (excluding zeros),units,25300.0
16279,1976,Manitoba,Males,16 years and over,Total income,Median income (excluding zeros),units,42300.0
16354,1976,Manitoba,Females,16 years and over,Total income,Median income (excluding zeros),units,14400.0
16429,1976,Manitoba,Both sexes,16 to 24 years,Total income,Median income (excluding zeros),units,15700.0
16504,1976,Manitoba,Males,16 to 24 years,Total income,Median income (excluding zeros),units,18300.0
16579,1976,Manitoba,Females,16 to 24 years,Total income,Median income (excluding zeros),units,15000.0
16654,1976,Manitoba,Both sexes,25 to 54 years,Total income,Median income (excluding zeros),units,40300.0
16729,1976,Manitoba,Males,25 to 54 years,Total income,Median income (excluding zeros),units,57800.0
16804,1976,Manitoba,Females,25 to 54 years,Total income,Median income (excluding zeros),units,21400.0
16879,1976,Manitoba,Both sexes,25 to 34 years,Total income,Median income (excluding zeros),units,38900.0
16954,1976,Manitoba,Males,25 to 34 years,Total income,Median income (excluding zeros),units,56000.0
17029,1976,Manitoba,Females,25 to 34 years,Total income,Median income (excluding zeros),units,19600.0
17104,1976,Manitoba,Both sexes,35 to 44 years,Total income,Median income (excluding zeros),units,45000.0
17179,1976,Manitoba,Males,35 to 44 years,Total income,Median income (excluding zeros),units,65400.0
17254,1976,Manitoba,Females,35 to 44 years,Total income,Median income (excluding zeros),units,22000.0
17329,1976,Manitoba,Both sexes,45 to 54 years,Total income,Median income (excluding zeros),units,33500.0
17404,1976,Manitoba,Males,45 to 54 years,Total income,Median income (excluding zeros),units,51600.0
17479,1976,Manitoba,Females,45 to 54 years,Total income,Median income (excluding zeros),units,22000.0
17554,1976,Manitoba,Both sexes,55 to 64 years,Total income,Median income (excluding zeros),units,36900.0
17629,1976,Manitoba,Males,55 to 64 years,Total income,Median income (excluding zeros),units,52100.0
17704,1976,Manitoba,Females,55 to 64 years,Total income,Median income (excluding zeros),units,10900.0
17779,1976,Manitoba,Both sexes,65 years and over,Total income,Median income (excluding zeros),units,12500.0
17854,1976,Manitoba,Males,65 years and over,Total income,Median income (excluding zeros),units,18800.0
17929,1976,Manitoba,Females,65 years and over,Total income,Median income (excluding zeros),units,11300.0
18004,1976,Saskatchewan,Both sexes,16 years and over,Total income,Median income (excluding zeros),units,25300.0
18079,1976,Saskatchewan,Males,16 years and over,Total income,Median income (excluding zeros),units,43000.0
18154,1976,Saskatchewan,Females,16 years and over,Total income,Median income (excluding zeros),units,12900.0
18229,1976,Saskatchewan,Both sexes,16 to 24 years,Total income,Median income (excluding zeros),units,15000.0
18304,1976,Saskatchewan,Males,16 to 24 years,Total income,Median income (excluding zeros),units,21400.0
18379,1976,Saskatchewan,Females,16 to 24 years,Total income,Median income (excluding zeros),units,9900.0
18454,1976,Saskatchewan,Both sexes,25 to 54 years,Total income,Median income (excluding zeros),units,43500.0
18529,1976,Saskatchewan,Males,25 to 54 years,Total income,Median income (excluding zeros),units,60100.0
18604,1976,Saskatchewan,Females,25 to 54 years,Total income,Median income (excluding zeros),units,17100.0
18679,1976,Saskatchewan,Both sexes,25 to 34 years,Total income,Median income (excluding zeros),units,47300.0
