,Income,Location,Age,Sex,Year,count,percentage,cumulative_percent
204,$50-<75k,"Halifax, Nova Scotia",45 to 54 years,Males,2016,5630.0,0.21737451737451738,0.6090733590733591
205,$75-<100k,"Halifax, Nova Scotia",45 to 54 years,Males,2016,4690.0,0.1810810810810811,0.7901544401544403
206,0-<25k,"Halifax, Nova Scotia",45 to 54 years,Males,2016,4740.0,0.18301158301158302,0.9731660231660233
207,225-250k,"Halifax, Nova Scotia",45 to 54 years,Males,2016,175.0,0.006756756756756757,0.9799227799227801
208,>250k,"Halifax, Nova Scotia",45 to 54 years,Males,2016,520.0,0.020077220077220077,1.0000000000000002
209,$100-<125k,"Halifax, Nova Scotia",55 to 64 years,Males,2016,1265.0,0.05041849342367477,0.05041849342367477
210,$125-<150k,"Halifax, Nova Scotia",55 to 64 years,Males,2016,1265.0,0.05041849342367477,0.10083698684734954
211,$150-<175k,"Halifax, Nova Scotia",55 to 64 years,Males,2016,450.0,0.017935432443204464,0.118772419290554
212,$175-<200k,"Halifax, Nova Scotia",55 to 64 years,Males,2016,450.0,0.017935432443204464,0.13670785173375846
213,$200-225k,"Halifax, Nova Scotia",55 to 64 years,Males,2016,165.0,0.00657632522917497,0.14328417696293344
214,$25-<50k,"Halifax, Nova Scotia",55 to 64 years,Males,2016,6260.0,0.2495017935432443,0.39278597050617775
215,$50-<75k,"Halifax, Nova Scotia",55 to 64 years,Males,2016,5570.0,0.2220007971303308,0.6147867676365085
216,$75-<100k,"Halifax, Nova Scotia",55 to 64 years,Males,2016,3330.0,0.13272220007971303,0.7475089677162216
217,0-<25k,"Halifax, Nova Scotia",55 to 64 years,Males,2016,5700.0,0.2271821442805899,0.9746911119968115
218,225-250k,"Halifax, Nova Scotia",55 to 64 years,Males,2016,165.0,0.00657632522917497,0.9812674372259864
219,>250k,"Halifax, Nova Scotia",55 to 64 years,Males,2016,470.0,0.018732562774013552,1.0
220,$100-<125k,"Halifax, Nova Scotia",65 years and over,Males,2016,645.0,0.02327679538072898,0.02327679538072898
221,$125-<150k,"Halifax, Nova Scotia",65 years and over,Males,2016,645.0,0.02327679538072898,0.04655359076145796
222,$150-<175k,"Halifax, Nova Scotia",65 years and over,Males,2016,220.0,0.007939372067845544,0.0544929628293035
223,$175-<200k,"Halifax, Nova Scotia",65 years and over,Males,2016,220.0,0.007939372067845544,0.06243233489714904
224,$200-225k,"Halifax, Nova Scotia",65 years and over,Males,2016,70.0,0.0025261638397690365,0.06495849873691807
225,$25-<50k,"Halifax, Nova Scotia",65 years and over,Males,2016,9880.0,0.3565499819559726,0.42150848069289065
226,$50-<75k,"Halifax, Nova Scotia",65 years and over,Males,2016,6200.0,0.22374594009382895,0.6452544207867196
227,$75-<100k,"Halifax, Nova Scotia",65 years and over,Males,2016,2170.0,0.07831107903284013,0.7235654998195598
228,0-<25k,"Halifax, Nova Scotia",65 years and over,Males,2016,7320.0,0.2641645615301335,0.9877300613496933
229,225-250k,"Halifax, Nova Scotia",65 years and over,Males,2016,70.0,0.0025261638397690365,0.9902562251894623
230,>250k,"Halifax, Nova Scotia",65 years and over,Males,2016,270.0,0.009743774810537712,1.0
231,$100-<125k,"Halifax, Nova Scotia",All age groups,Females,2016,2630.0,0.016387313851330302,0.016387313851330302
232,$125-<150k,"Halifax, Nova Scotia",All age groups,Females,2016,2630.0,0.016387313851330302,0.032774627702660604
233,$150-<175k,"Halifax, Nova Scotia",All age groups,Females,2016,595.0,0.0037073960994454484,0.03648202380210605
234,$175-<200k,"Halifax, Nova Scotia",All age groups,Females,2016,595.0,0.0037073960994454484,0.0401894199015515
235,$200-225k,"Halifax, Nova Scotia",All age groups,Females,2016,200.0,0.0012461835628388063,0.041435603464390305
236,$25-<50k,"Halifax, Nova Scotia",All age groups,Females,2016,51420.0,0.32039379400585705,0.36182939747024734
237,$50-<75k,"Halifax, Nova Scotia",All age groups,Females,2016,24930.0,0.15533678110785717,0.5171661785781045
238,$75-<100k,"Halifax, Nova Scotia",All age groups,Females,2016,11860.0,0.0738986852763412,0.5910648638544458
239,0-<25k,"Halifax, Nova Scotia",All age groups,Females,2016,64980.0,0.4048850395663281,0.9959499034207739
240,225-250k,"Halifax, Nova Scotia",All age groups,Females,2016,200.0,0.0012461835628388063,0.9971960869836127
241,>250k,"Halifax, Nova Scotia",All age groups,Females,2016,450.0,0.0028039130163873137,1.0
242,$100-<125k,"Halifax, Nova Scotia",0 to 24 years,Females,2016,,,
243,$125-<150k,"Halifax, Nova Scotia",0 to 24 years,Females,2016,,,
244,$150-<175k,"Halifax, Nova Scotia",0 to 24 years,Females,2016,,,
245,$175-<200k,"Halifax, Nova Scotia",0 to 24 years,Females,2016,,,
246,$200-225k,"Halifax, Nova Scotia",0 to 24 years,Females,2016,,,
247,$25-<50k,"Halifax, Nova Scotia",0 to 24 years,Females,2016,2730.0,,
248,$50-<75k,"Halifax, Nova Scotia",0 to 24 years,Females,2016,360.0,,
249,$75-<100k,"Halifax, Nova Scotia",0 to 24 years,Females,2016,80.0,,
250,0-<25k,"Halifax, Nova Scotia",0 to 24 years,Females,2016,14490.0,,
251,225-250k,"Halifax, Nova Scotia",0 to 24 years,Females,2016,,,
252,>250k,"Halifax, Nova Scotia",0 to 24 years,Females,2016,0.0,,
253,$100-<125k,"Halifax, Nova Scotia",25 to 34 years,Females,2016,145.0,,
254,$125-<150k,"Halifax, Nova Scotia",25 to 34 years,Females,2016,145.0,,
255,$150-<175k,"Halifax, Nova Scotia",25 to 34 years,Females,2016,25.0,,
256,$175-<200k,"Halifax, Nova Scotia",25 to 34 years,Females,2016,25.0,,
257,$200-225k,"Halifax, Nova Scotia",25 to 34 years,Females,2016,,,
258,$25-<50k,"Halifax, Nova Scotia",25 to 34 years,Females,2016,11060.0,,
259,$50-<75k,"Halifax, Nova Scotia",25 to 34 years,Females,2016,4620.0,,
260,$75-<100k,"Halifax, Nova Scotia",25 to 34 years,Females,2016,1540.0,,
261,0-<25k,"Halifax, Nova Scotia",25 to 34 years,Females,2016,9910.0,,
262,225-250k,"Halifax, Nova Scotia",25 to 34 years,Females,2016,,,
263,>250k,"Halifax, Nova Scotia",25 to 34 years,Females,2016,0.0,,
264,$100-<125k,"Halifax, Nova Scotia",35 to 44 years,Females,2016,650.0,0.024696048632218845,0.024696048632218845
265,$125-<150k,"Halifax, Nova Scotia",35 to 44 years,Females,2016,650.0,0.024696048632218845,0.04939209726443769
266,$150-<175k,"Halifax, Nova Scotia",35 to 44 years,Females,2016,125.0,0.004749240121580547,0.054141337386018236
267,$175-<200k,"Halifax, Nova Scotia",35 to 44 years,Females,2016,125.0,0.004749240121580547,0.05889057750759878
268,$200-225k,"Halifax, Nova Scotia",35 to 44 years,Females,2016,40.0,0.001519756838905775,0.06041033434650456
269,$25-<50k,"Halifax, Nova Scotia",35 to 44 years,Females,2016,8460.0,0.32142857142857145,0.381838905775076
270,$50-<75k,"Halifax, Nova Scotia",35 to 44 years,Females,2016,5820.0,0.22112462006079028,0.6029635258358663
271,$75-<100k,"Halifax, Nova Scotia",35 to 44 years,Females,2016,3480.0,0.13221884498480244,0.7351823708206687
272,0-<25k,"Halifax, Nova Scotia",35 to 44 years,Females,2016,6860.0,0.26063829787234044,0.9958206686930091
273,225-250k,"Halifax, Nova Scotia",35 to 44 years,Females,2016,40.0,0.001519756838905775,0.9973404255319149
